Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","008","Albania","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2022","2022","t","351.39","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01349.20","Other stone fruits","2022","2022","t","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2022","2022","t","38802.5","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01345","Peaches and nectarines","2022","2022","t","22472","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01342.01","Pears","2022","2022","t","14975","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01242","Peas, green","2022","2022","t","8782","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01346","Plums and sloes","2022","2022","t","45141","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01510","Potatoes","2022","2022","t","262673","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01235","Pumpkins, squash and gourds","2022","2022","t","30002.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01342.02","Quinces","2022","2022","t","5330","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","2351f","Raw cane or beet sugar (centrifugal only)","2022","2022","t","2062.26","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","02951.01","Raw hides and skins of cattle","2022","2022","t","6171.69","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","02954","Raw hides and skins of goats or kids","2022","2022","t","1840.5","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","02953","Raw hides and skins of sheep or lambs","2022","2022","t","4991.42","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","02211","Raw milk of cattle","2022","2022","t","849690.26","A","Official figure",""
